"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"N2","PC3_C","I/O","","","","","","DFSDM1_DATIN1","OCTOSPIM_P1_IO6","I2S2_SDO/SPI2_MOSI","","","","OCTOSPIM_P1_IO0","USB_OTG_HS_ULPI_NXT","ETH_TX_CLK","FMC_SDCKE0","","",""
"N3","VSSA","Power","","","","","","","","","","","","","","","","","",""
"N4","PH2","I/O","","","","LPTIM1_IN2","","","","","","","","OCTOSPIM_P1_IO4","SAI4_SCK_B","ETH_CRS","FMC_SDCKE0","","LTDC_R0","EVENTOUT"
"N5","PA3","I/O","USB_OTG_HS_ULPI_D0","","","TIM2_CH4","TIM5_CH4","LPTIM5_OUT","TIM15_CH2","I2S6_MCK","OCTOSPIM_P1_IO2","USART2_RX","","LTDC_B2","USB_OTG_HS_ULPI_D0","ETH_COL","OCTOSPIM_P1_CLK","","LTDC_B5","EVENTOUT"
"N6","PA7","I/O","ETH_CRS_DV","","","TIM1_CH1N","TIM3_CH2","TIM8_CH1N","","I2S1_SDO/SPI1_MOSI","","","I2S6_SDO/SPI6_MOSI","TIM14_CH1","OCTOSPIM_P1_IO2","ETH_CRS_DV/ETH_RX_DV","FMC_SDNWE","","LTDC_VSYNC","EVENTOUT"
"N7","PF11","I/O","ADC1_INP2","","","","","","","SPI5_MOSI","","","","OCTOSPIM_P1_NCLK","SAI4_SD_B","","FMC_SDNRAS","DCMI_D12/PSSI_D12","TIM24_CH1","EVENTOUT"
"N8","PE8","I/O","","","","TIM1_CH1N","","DFSDM1_CKIN2","","","","UART7_TX","","","OCTOSPIM_P1_IO5","","FMC_D5/FMC_DA5","COMP2_OUT","","EVENTOUT"
"N9","PG1","I/O","","","","","","","","","","","","OCTOSPIM_P2_IO5","","UART9_TX","FMC_A11","","","EVENTOUT"
"N10","PF15","I/O","","","","","","","I2C4_SDA","","","","","","","","FMC_A9","","","EVENTOUT"
"N11","PF13","I/O","","","","","","DFSDM1_DATIN6","I2C4_SMBA","","","","","","","","FMC_A7","","TIM24_CH3","EVENTOUT"
